mes,ipca_variacao,ipca_acumulado_doze_meses,ipca15_variacao,ipca15_acumulado_doze_meses,ipa_variacao,selic_ano,juros_reais
01,6.62,0,0,0,7.31,0,0
02,4.62,0,0,0,3.69,0,0
03,6.04,0,0,0,6.32,0,0
04,5.29,0,0,0,6.69,0,0
05,5.7,0,0,0,7.32,0,0
06,5.31,0,0,0,6.17,0,0
07,5.55,0,0,0,9.79,0,0
08,4.95,0,0,0,6.69,0,0
09,4.23,0,0,0,5.48,0,0
10,9.48,0,0,0,9.16,0,0
11,6.67,0,0,0,8.62,0,0
12,6.61,99.25,0,0,5.01,0,0
01,6.84,99.67,0,0,6.16,0,0
02,6.4,103.07,0,0,8.24,0,0
03,4.97,101.03,0,0,7.79,0,0
04,6.46,103.27,0,0,5.46,0,0
05,5.56,103,0,0,6.85,0,0
06,5.52,103.41,0,0,4.56,0,0
07,6.26,104.78,0,0,4.5,0,0
08,5.5,105.85,0,0,5.48,0,0
09,5.26,107.88,0,0,5.07,0,0
10,5.08,99.52,0,0,5.06,0,0
11,5.27,96.89,0,0,5.82,0,0
12,5.93,95.62,0,0,3.49,0,0
01,6.97,95.86,0,0,6.24,0,0
02,6.64,96.29,0,0,6.45,0,0
03,5.71,97.68,0,0,7.14,0,0
04,5.89,96.61,0,0,5.57,0,0
05,6.66,98.65,0,0,5.52,0,0
06,7.1,101.64,0,0,9.24,0,0
07,6.36,101.84,0,0,5.62,0,0
08,5.97,102.75,0,0,4.6,0,0
09,5.08,102.41,0,0,3.39,0,0
10,4.44,101.19,0,0,5.22,0,0
11,5.29,101.22,0,0,5.25,0,0
12,7.81,104.79,0,0,6.03,0,0
01,8.64,108,0,0,9.77,0,0
02,7.86,110.38,0,0,5.61,0,0
03,7.34,113.63,0,0,10.75,0,0
04,6.58,115.03,0,0,10.31,0,0
05,6.48,114.67,0,0,6.61,0,0
06,9.88,120.24,0,0,13.7,0,0
07,10.08,127.94,0,0,14.46,0,0
08,9.11,134.69,0,0,10.11,0,0
09,10.3,146.35,0,0,14.41,0,0
10,8.87,156.78,0,0,15.58,0,0
11,7.38,161.9,0,0,8.68,0,0
12,8.68,164.01,0,0,7.42,0,0
01,9.67,166.51,0,0,10.19,0,0
02,9.5,170.57,0,0,11.93,0,0
03,8.94,174.59,0,0,10.11,0,0
04,9.54,182.22,0,0,9.6,0,0
05,9.05,189.03,0,0,8.82,0,0
06,10.08,189.55,0,0,9.08,0,0
07,9.72,188.62,0,0,10.74,0,0
08,9.35,189.25,0,0,9.2,0,0
09,11.75,193.05,0,0,11.17,0,0
10,10.44,197.27,0,0,13.68,0,0
11,10.53,205.97,0,0,10.36,0,0
12,11.98,215.26,0,0,10.83,0,0
01,11.76,221.27,0,0,12.94,0,0
02,10.87,225.28,0,0,9.22,0,0
03,10.16,228.93,0,0,13.58,0,0
04,8.2,224.88,0,0,7.24,0,0
05,7.2,219.36,0,0,6.47,0,0
06,8.49,214.76,0,0,7.08,0,0
07,10.31,216.44,0,0,7.61,0,0
08,12.05,224.26,0,0,14.51,0,0
09,11.12,222.43,0,0,9.06,0,0
10,10.62,222.95,0,0,9.54,0,0
11,13.97,233.02,0,0,15.07,0,0
12,15.07,242.23,0,0,12.27,0,0
01,14.37,250.23,0,0,18.98,0,0
02,12.72,256.08,0,0,16.11,0,0
03,4.77,238.65,0,0,4.16,0,0
04,0.78,215.44,0,0,-1.47,0,0
05,1.4,198.38,0,0,0.09,0,0
06,1.27,178.52,0,0,0.37,18.23,-57.55
07,1.71,156.8,0,0,0.58,23.51,-51.9
08,3.55,137.33,0,0,1.34,35.55,-42.89
09,1.72,117.25,0,0,0.67,39.39,-35.84
10,1.9,100.13,0,0,1.16,23.65,-38.22
11,5.45,85.17,0,0,2.13,34.32,-27.46
12,11.65,79.66,0,0,7.65,83.98,2.4
01,13.21,77.84,0,0,10.5,250.03,96.82
02,12.64,77.71,0,0,10.35,854.45,437.08
03,16.37,97.39,0,0,14.05,314.71,110.1
04,19.1,133.27,0,0,20.98,560.69,183.23
05,21.45,179.4,0,0,30.72,1502.24,473.46
06,19.71,230.27,0,0,26.26,630.28,121.12
07,9.21,254.63,0,0,9.89,154.67,-28.19
08,4.87,259.14,0,0,3.72,154.24,-29.21
09,7.78,280.55,0,0,7.55,151.44,-33.93
10,11.22,315.35,0,0,11.68,195.52,-28.85
11,15.08,353.27,0,0,14.98,362.14,1.96
12,14.15,363.41,0,0,16.05,366.05,0.57
01,18.89,386.67,0,0,18.39,606.33,45.14
02,15.7,399.9,0,0,17.86,833.98,86.83
03,17.6,405.18,0,0,17.52,480.08,14.83
04,19.29,405.99,0,0,21.32,1054.31,128.13
05,17.42,389.19,0,0,19.27,762.51,76.31
06,22,398.54,0,0,21.23,720.75,64.63
07,21.91,456.52,0,0,22.25,1312.8,153.86
08,21.59,545.24,0,0,23.71,835.07,44.92
09,27.45,662.99,0,0,26.15,1539.21,114.84
10,25.62,761.78,0,0,26.88,3076.43,268.59
11,27.94,858.09,0,0,27.59,1909.3,109.72
12,28.7,980.21,0,0,29.46,1962.12,90.9
01,37.49,1149.22,0,0,36.12,1253.74,8.37
02,16.78,1160.88,0,0,10.74,1034.67,-10.01
03,6.82,1045.29,0,0,3.11,829.22,-18.87
04,8.33,940.07,0,0,4.88,324.54,-59.18
05,17.92,944.5,0,0,11.22,266.37,-64.92
06,28.65,1001.44,0,0,25.42,1486.02,44
07,27.74,1054.11,0,0,39.44,3005.24,169.06
08,33.71,1169.15,0,0,36.73,2687.61,119.64
09,37.56,1269.82,0,0,41.41,6002.01,345.46
10,39.77,1424.12,0,0,40.34,10676.54,607.07
11,47.82,1660.95,0,0,44.32,14365.32,721.45
12,51.5,1972.91,0,0,48.89,51659.46,2396.95
01,67.55,2426.12,0,0,72.63,36957.2,1366.96
02,75.73,3701.29,0,0,73.99,438898.83,11448.68
03,82.39,6390.53,0,0,82.04,3507.42,-44.42
04,15.52,6821.31,0,0,9.98,73.21,-97.5
05,7.59,6214.99,0,0,9.93,88.57,-97.01
06,11.75,5385.43,0,0,7.32,187.11,-94.77
07,12.92,4749.03,0,0,11.57,339.35,-90.94
08,12.88,3993.62,0,0,12.95,230.48,-91.93
09,14.41,3304.71,0,0,11.06,554.26,-80.78
10,14.36,2685.74,0,0,14.59,524.39,-77.59
11,16.81,2101.34,0,0,18.43,877.02,-55.62
12,18.44,1620.97,0,0,15,1237.94,-22.26
01,20.75,1140.27,0,0,20.32,789.54,-28.28
02,20.72,752.02,0,0,21.57,166.94,-68.67
03,11.92,422.84,0,0,7.48,213.32,-40.07
04,4.99,375.18,0,0,9.04,187.77,-39.44
05,7.43,374.48,0,0,5.45,198.99,-36.99
06,11.19,372.1,0,0,8.77,244.79,-26.97
07,12.41,369.96,0,0,12.45,259.48,-23.51
08,15.63,381.41,0,0,15.6,434.02,10.93
09,15.63,386.55,0,0,15.17,772.46,79.32
10,20.23,411.52,0,0,27.34,1152.41,144.84
11,25.21,448.31,0,0,25.52,3343.48,528.02
12,23.71,472.7,0,0,21.5,2495.22,353.16
01,25.94,497.32,0,0,27.11,1757.41,210.96
02,24.32,515.13,0,0,25.48,2316.07,292.77
03,21.4,567.21,0,0,19.67,1903.48,200.28
04,19.93,662.16,0,0,17.8,1619.83,125.65
05,24.86,785.81,0,0,21.23,1257.14,53.21
06,20.21,857.68,0,0,20.9,1257.75,41.77
07,21.83,937.94,0,0,22.19,1181.45,23.46
08,22.14,996.37,0,0,27.4,1447.92,41.19
09,24.63,1081.7,0,0,27.17,1773.24,58.52
10,25.24,1130.94,0,0,24.83,1866.66,59.77
11,22.49,1104.2,0,0,24.43,1815.18,59.04
12,25.24,1119.1,0,0,23.78,1300.85,14.91
01,30.35,1161.79,0,0,26.69,2259.56,87
02,24.98,1168.49,0,0,26.23,3397.11,175.69
03,27.26,1229.71,0,0,28.08,1441.34,15.92
04,27.75,1316.42,0,0,28.32,3326.22,141.89
05,27.69,1348.52,0,0,32.06,2430.28,74.68
06,30.07,1467.33,0,0,30.3,2676.49,77.15
07,30.72,1581.7,0,0,32.29,2461.37,52.31
08,32.96,1730.67,0,0,33.34,2916.19,64.76
09,35.69,1893.13,0,0,37.25,4359.96,123.77
10,33.92,2031.27,0,0,35.03,5902.32,181.63
11,35.56,2258.68,0,0,36.52,5892.16,154.05
12,36.84,2477.15,0,0,35.72,4010.32,59.49
01,41.31,2693.84,0,0,41.28,7065.02,156.46
02,40.27,3035.71,0,0,43.23,13442.03,331.86
03,42.75,3417.39,0,0,43.65,7784.35,124.15
04,42.68,3828.49,0,0,40.2,15710.86,302.47
05,44.03,4331.19,0,0,38.47,8784.03,100.49
06,47.43,4922.6,0,0,45.5,13532.65,171.43
07,6.84,4005.08,0,0,23.12,131.03,-94.37
08,1.86,3044.89,0,0,4.4,56.46,-95.02
09,1.53,2253.15,0,0,1.79,57.06,-93.33
10,2.62,1703.17,0,0,2.71,60.3,-91.11
11,2.81,1267.54,0,0,2.18,65.36,-87.91
12,1.71,916.46,0,0,0.17,53.25,-84.92
01,1.7,631.54,0,0,0.87,46.25,-80.01
02,1.02,426.83,0,0,0.58,56.54,-70.29
03,1.55,274.78,0,0,1.08,57.98,-57.85
04,2.43,169.05,0,0,1.99,85.47,-31.06
05,2.67,91.79,0,0,-2.03,61.05,-16.03
06,2.26,33.03,0,0,1.55,60.84,20.91
07,2.36,27.45,0,0,2.24,60.53,25.96
08,0.99,26.36,0,0,1.73,51.11,19.59
09,0.99,25.69,0,0,-2.42,51,20.14
10,1.41,24.21,0,0,-0.14,44.11,16.02
11,1.47,22.59,0,0,1.49,42.93,16.59
12,1.56,22.41,0,0,-0.61,41.22,15.37
01,1.34,21.97,0,0,1.31,33.83,9.72
02,1.03,21.99,0,0,0.47,36.11,11.57
03,0.35,20.55,0,0,-0.07,30.16,7.97
04,1.26,19.17,0,0,0.41,29.42,8.6
05,1.22,17.49,0,0,1.34,25.64,6.94
06,1.19,16.26,0,0,0.94,29.65,11.52
07,1.11,14.84,0,0,1.38,23.28,7.35
08,0.44,14.21,0,0,-0.05,25.01,9.46
09,0.15,13.26,0,0,0.41,25.4,10.72
10,0.3,12.02,0,0,0.24,23.48,10.23
11,0.32,10.75,0,0,0.24,25.27,13.11
12,0.47,9.56,0,0,1.21,23.94,13.13
01,1.18,9.39,0,0,1.67,21.73,11.28
02,0.5,8.82,0,0,0.34,26.14,15.92
03,0.51,8.99,0,0,1.59,24.11,13.87
04,0.88,8.58,0,0,0.53,21.84,12.21
05,0.41,7.71,0,0,0.14,21.91,13.18
06,0.54,7.02,0,0,0.24,21.08,13.14
07,0.22,6.08,0,0,-0.09,19.04,12.22
08,-0.02,5.59,0,0,-0.15,20.78,14.39
09,0.06,5.5,0,0,0.92,19.81,13.56
10,0.23,5.42,0,0,0.41,19.93,13.76
11,0.17,5.27,0,0,1.08,45.9,38.6
12,0.43,5.22,0,0,0.87,39.87,32.93
01,0.71,4.73,0,0,0.75,37.19,30.99
02,0.46,4.69,0,0,-0.15,34.32,28.3
03,0.34,4.52,0,0,0.13,28.32,22.77
04,0.24,3.85,0,0,-0.28,25.16,20.52
05,0.5,3.95,0,0,0.13,22.6,17.94
06,0.02,3.41,0,0,0.17,21.02,17.03
07,-0.12,3.06,0,0,-0.61,20.33,16.76
08,-0.51,2.55,0,0,-0.04,19.23,16.27
09,-0.22,2.27,0,0,0.06,34.29,31.31
10,0.02,2.05,0,0,-0.19,41.6,38.76
11,-0.12,1.76,0,0,-0.2,38.73,36.33
12,0.33,1.65,0,0,1.74,31.24,29.11
01,0.7,1.65,0,0,1.58,31.19,29.06
02,1.05,2.24,0,0,6.99,38.97,35.93
03,1.1,3.02,0,0,2.84,43.25,39.05
04,0.56,3.35,0,0,-0.34,36.12,31.71
05,0.3,3.14,0,0,-0.82,27.11,23.24
06,0.19,3.32,0,0,1.35,22.01,18.09
07,1.09,4.57,0,0,2.03,20.74,15.46
08,0.56,5.69,0,0,2.15,19.51,13.08
09,0.31,6.25,0,0,2.3,19.38,12.36
10,1.19,7.5,0,0,2.58,18.91,10.61
11,0.95,8.65,0,0,3.71,18.95,9.48
12,0.6,8.94,0,0,1.49,18.99,9.23
01,0.62,8.85,0,0,1.02,18.94,9.27
02,0.13,7.86,0,0,0.17,18.87,10.21
03,0.22,6.92,0,0,-0.05,18.85,11.16
04,0.42,6.77,0,0,-0.02,18.62,11.1
05,0.01,6.47,0.09,6.57,0.69,18.51,11.31
06,0.23,6.51,0.08,6.68,1.45,18.04,10.83
07,1.61,7.06,0.78,6.67,2.79,16.85,9.14
08,1.31,7.86,1.99,7.92,2.56,16.52,8.03
09,0.23,7.77,0.45,7.9,1.09,16.56,8.16
10,0.14,6.65,0.18,7.23,0.56,16.6,9.33
11,0.32,5.99,0.17,6.36,0.38,16.51,9.93
12,0.59,5.97,0.6,6.04,0.85,16.19,9.64
01,0.57,5.92,0.63,6.01,0.4,15.49,9.04
02,0.46,6.27,0.5,6.18,0.31,15.2,8.4
03,0.38,6.44,0.36,6.47,1.01,15.39,8.41
04,0.58,6.61,0.5,6.5,1.39,16.02,8.83
05,0.41,7.04,0.49,6.93,0.18,16.43,8.77
06,0.52,7.35,0.38,7.25,1.96,17.28,9.25
07,1.33,7.05,0.94,7.42,1.93,18.57,10.76
08,0.7,6.41,1.18,6.57,1.13,19,11.83
09,0.28,6.46,0.38,6.49,0.48,19.06,11.84
10,0.83,7.19,0.37,6.69,1.88,19.06,11.07
11,0.71,7.61,0.99,7.57,0.73,19.05,10.63
12,0.65,7.67,0.55,7.51,-0.09,19.05,10.57
01,0.52,7.62,0.62,7.5,-0.13,19.05,10.62
02,0.36,7.51,0.44,7.44,0.14,18.97,10.66
03,0.6,7.75,0.4,7.48,-0.11,18.72,10.18
04,0.8,7.98,0.78,7.78,0.75,18.38,9.63
05,0.21,7.77,0.42,7.7,1.27,18.37,9.84
06,0.42,7.66,0.33,7.65,2.5,18.1,9.7
07,1.19,7.51,0.77,7.47,2.82,18.17,9.92
